Product Name,Price (KES),Price (USD)
"Starlink Standard Kit: High-Speed, Low-Latency Internet with Gen 3 Router, Wi-Fi 6",46900.0,362.26
Rashnik RN-999 2 In 1 Blender & Grinder –1.5L – 350W - Black,1440.0,11.12
"Infinix Hot 60i 4G, 6.7"", 6GB RAM + 128GB, 5160mAh (Dual SIM), Sleek Black  (1YR WRTY)",13800.0,106.59
"Redmi 15C By Xiaomi, 4G, 6.9"", 8GB RAM + 256GB, 6000mAh, Black (25 Months Warranty)",17470.0,134.94
"Garnier Garnier Even & Bright Serum Cleanser with Vitamin C* – Brightens in 1 Wash – For All Skin Types, Including Sensitive Skin - 100ml",879.0,6.79
VON VART-19DHS Double Door Fridge 136L - Silver (1YR WRTY),24299.0,187.69
NIVEA UV Sunscreen Face Shine Control Cream SPF 50 - 40ml.,749.0,5.79
"Garnier Even & Bright Vitamin C+ Booster Serum,Fades Dark Marks, 100x Stronger than Vitamin C, Evens Skin Tone, with Vitamin C & Activating BHA &Niacinamide - 30ml.",1224.0,9.45
Em ElectroMate Water Dispenser with Hot and Normal White Water Dispenser WD01,2099.0,16.21
"5-piece Men's Watch And Bracelet Set,Watch Series,Paired With Necklace And Ring",463.0,3.58
Lyons Electric Dry Iron 1000W Non-Stick Soleplate Fast Heating Iron Box AN-2005,650.0,5.02
Kuhl Kuhl K1 20000mAh Power Bank - Dual USB-A & USB-C Fast Charger,599.0,4.63
